O*NET-SOC Code,Title,training_and_experience_related_work_experience_ranked,training_and_experience_on_site_training_ranked,training_and_experience_on_the_job_training_ranked,training_and_experience_importance_ranked,training_and_experience_job_related_apprenticeship_importance_value,training_and_experience_on_site_or_in_plant_training_on_site_training_value,training_and_experience_on_the_job_training_on_the_job_training_value,training_and_experience_related_work_experience_related_work_experience_value
11-9151.00,Social and Community Service Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.02,16.12,0.0,0.0
11-9161.00,Emergency Management Directors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.36,9.09,4.55,0.0
11-9171.00,Funeral Home Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.47,0.0,0.0,28.09
11-9179.01,Fitness and Wellness Coordinators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.73,19.23,19.23,0.0
11-9179.02,Spa Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.37,0.86,0.35,0.0
11-9199.01,Regulatory Affairs Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.52,21.74,0.0,0.0
11-9199.02,Compliance Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.35,4.41,0.0,13.44
11-9199.08,Loss Prevention Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.43,4.76,0.0,0.0
11-9199.09,Wind Energy Operations Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.74,0.0,0.0,0.0
11-9199.10,Wind Energy Development Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,11.34,6.14,0.0
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.55,36.36,4.55,4.55
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,32.29,0.0,0.0
13-1021.00,"Buyers and Purchasing Agents, Farm Products",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.96,0.0,0.0,0.06
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.13,3.79,8.15,9.12
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.65,25.0,5.0,5.0
13-1031.00,"Claims Adjusters, Examiners, and Investigators",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.38,7.14,7.14,7.41
13-1032.00,"Insurance Appraisers, Auto Damage",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,0.0,0.0,15.94
13-1041.01,Environmental Compliance Inspectors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.9,0.0,0.0,25.0
13-1041.03,Equal Opportunity Representatives and Officers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,17.27,5.61,6.78
13-1041.04,Government Property Inspectors and Investigators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,9.0,0.0,11.13
13-1041.06,Coroners,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.6,0.0,0.0,15.0
13-1041.07,Regulatory Affairs Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.85,11.11,3.7,3.7
13-1041.08,Customs Brokers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.3,20.0,0.0,20.0
13-1051.00,Cost Estimators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.36,4.55,0.0,13.64
13-1071.00,Human Resources Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.91,32.29,1.36,1.62
13-1074.00,Farm Labor Contractors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.82,0.0,0.0,0.0
13-1075.00,Labor Relations Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.05,14.29,0.0,0.0
13-1081.00,Logisticians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,16.67,4.17,8.33
13-1081.01,Logistics Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.91,4.35,0.0,8.7
13-1081.02,Logistics Analysts,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.0,4.55,9.09,0.0
13-1082.00,Project Management Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.61,15.15,6.06,0.0
13-1111.00,Management Analysts,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.9,14.29,0.0,0.0
13-1121.00,"Meeting, Convention, and Event Planners",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,35.17,0.0,1.22
13-1131.00,Fundraisers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.67,33.33,14.29,0.0
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.62,23.81,9.52,4.76
13-1151.00,Training and Development Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.61,9.09,0.0,4.35
13-1161.00,Market Research Analysts and Marketing Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.8,42.11,11.11,0.0
13-1161.01,Search Marketing Strategists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.52,21.74,8.7,0.0
13-1199.04,Business Continuity Planners,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.13,17.39,0.0,0.0
13-1199.05,Sustainability Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.04,30.43,13.04,4.35
13-1199.06,Online Merchants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,16.61,0.0,16.67
13-1199.07,Security Management Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.95,10.0,5.0,0.0
13-2011.00,Accountants and Auditors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.41,27.59,6.9,34.48
13-2022.00,Appraisers of Personal and Business Property,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.04,13.04,4.35,8.7
13-2023.00,Appraisers and Assessors of Real Estate,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,4.5,8.33,4.17,16.67
13-2031.00,Budget Analysts,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.06,12.56,0.0,7.09
13-2041.00,Credit Analysts,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.79,30.0,10.0,25.0
13-2052.00,Personal Financial Advisors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.6,23.08,0.0,15.38
13-2053.00,Insurance Underwriters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.8,26.67,0.0,40.0
13-2061.00,Financial Examiners,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.0,0.0,0.0,39.13
13-2071.00,Credit Counselors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.93,6.67,3.33,20.69
13-2072.00,Loan Officers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.1,18.84,0.0,0.0
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.94,24.52,3.14,0.59
13-2082.00,Tax Preparers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.1,14.29,4.76,28.57
13-2099.01,Financial Quantitative Analysts,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.8,30.0,0.0,10.0
13-2099.04,"Fraud Examiners, Investigators and Analysts",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.83,12.5,0.0,8.33
15-1211.00,Computer Systems Analysts,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.39,48.76,4.48,0.0
15-1211.01,Health Informatics Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.29,14.29,0.0,5.0
15-1212.00,Information Security Analysts,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,22.65,12.73,1.13
15-1221.00,Computer and Information Research Scientists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,6.11,13.64,13.9
15-1231.00,Computer Network Support Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,6.19,0.0,0.0
15-1232.00,Computer User Support Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.51,5.64,0.0,0.32
15-1241.00,Computer Network Architects,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.05,5.0,5.26,0.0
15-1241.01,Telecommunications Engineering Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.94,9.68,0.0,6.45
15-1242.00,Database Administrators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.3,29.41,0.0,1.29
15-1243.00,Database Architects,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.05,33.33,9.52,0.0
15-1243.01,Data Warehousing Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.68,26.09,17.39,0.0
15-1244.00,Network and Computer Systems Administrators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.79,10.0,3.33,0.0
15-1251.00,Computer Programmers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,35.23,2.43,2.97
15-1252.00,Software Developers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.23,43.02,11.92,4.42
15-1253.00,Software Quality Assurance Analysts and Testers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.0,23.53,8.82,8.82
15-1254.00,Web Developers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.95,41.67,12.5,12.5
15-1255.00,Web and Digital Interface Designers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.42,7.08,2.94,0.0
15-1255.01,Video Game Designers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.15,45.0,5.0,10.0
15-1299.01,Web Administrators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.1,30.0,5.0,0.0
15-1299.02,Geographic Information Systems Technologists and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.32,16.43,0.0,6.26
15-1299.03,Document Management Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.9,10.53,10.0,0.0
15-1299.04,Penetration Testers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.8,15.0,0.0,5.0
15-1299.05,Information Security Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.74,26.32,5.26,10.53
15-1299.06,Digital Forensics Analysts,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.81,11.11,3.7,11.11
15-1299.07,Blockchain Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.56,6.25,6.25,6.25
15-1299.08,Computer Systems Engineers/Architects,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.14,4.55,0.0,4.55
15-1299.09,Information Technology Project Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.38,4.76,0.0,0.0
15-2011.00,Actuaries,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.72,50.0,0.0,44.12
