ONET_SOC_CODE,Title,education_required_level_ranked,education_importance_ranked,education_required_quantity_ranked,education_category_10_required_level_value,education_category_10_required_quantity_value,education_category_11_required_level_value,education_category_11_required_quantity_value,education_category_12_required_level_value,education_category_12_required_quantity_value,education_category_1_required_level_value,education_category_1_required_quantity_value,education_category_2_required_level_value,education_category_2_required_quantity_value,education_category_3_required_level_value,education_category_3_required_quantity_value,education_category_4_required_level_value,education_category_4_required_quantity_value,education_category_5_required_level_value,education_category_5_required_quantity_value,education_category_6_required_level_value,education_category_6_required_quantity_value,education_category_7_required_level_value,education_category_7_required_quantity_value,education_category_8_required_level_value,education_category_8_required_quantity_value,education_category_9_required_level_value,education_category_9_required_quantity_value
15-1299.01,Web Administrators,category_6|category_4|category_5|category_2|category_3,,,0.0,,0.0,,0.0,,0.0,,5.0,,5.0,,15.0,,15.0,,55.0,,0.0,,0.0,,5.0,
15-1299.02,Geographic Information Systems Technologists and Technicians,,,category_6|category_8|category_5|category_4|category_2,,0.0,,0.0,,0.0,,0.0,,6.26,,0.65,,17.52,,22.95,,27.35,,0.0,,25.27,,0.0
15-1299.03,Document Management Specialists,category_6|category_8|category_5|category_7|category_2,,,0.0,,0.0,,0.0,,0.0,,5.0,,0.0,,0.0,,10.0,,60.0,,10.0,,15.0,,0.0,
15-1299.04,Penetration Testers,,,category_6|category_3|category_2|category_4|category_5,,0.0,,0.0,,0.0,,0.0,,15.0,,20.0,,10.0,,10.0,,40.0,,0.0,,5.0,,0.0
15-1299.05,Information Security Engineers,category_6|category_3|category_4|category_5|category_1,,,0.0,,0.0,,0.0,,5.26,,5.26,,15.79,,10.53,,10.53,,47.37,,0.0,,0.0,,5.26,
15-1299.06,Digital Forensics Analysts,,,category_6|category_5|category_4|category_3|category_1,,0.0,,0.0,,0.0,,0.0,,0.0,,7.41,,14.81,,22.22,,55.56,,0.0,,0.0,,0.0
15-1299.07,Blockchain Engineers,category_6|category_4|category_8|category_2|category_3,,,0.0,,6.25,,6.25,,0.0,,6.25,,6.25,,18.75,,6.25,,37.5,,0.0,,12.5,,0.0,
15-1299.08,Computer Systems Engineers/Architects,category_3|category_5|category_6|category_4|category_8,,,0.0,,0.0,,0.0,,0.0,,0.0,,40.91,,4.55,,27.27,,22.73,,0.0,,4.55,,0.0,
15-1299.09,Information Technology Project Managers,category_6|category_5|category_7|category_3|category_8,,,0.0,,0.0,,0.0,,0.0,,0.0,,9.52,,0.0,,23.81,,38.1,,19.05,,9.52,,0.0,
15-2011.00,Actuaries,,,category_6|category_7|category_10|category_1|category_2,,5.88,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,82.35,,11.76,,0.0,,0.0
15-2021.00,Mathematicians,category_11|category_8|category_6|category_12|category_9,,,5.0,,45.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0.0,,10.0,,0.0,,25.0,,5.0,
15-2031.00,Operations Research Analysts,category_8|category_6|category_11|category_7|category_1,,,0.0,,14.29,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,33.33,,9.52,,42.86,,0.0,
15-2041.00,Statisticians,category_8|category_6|category_11|category_4|category_5,,,0.0,,9.52,,4.76,,0.0,,0.0,,0.0,,4.76,,4.76,,14.29,,0.0,,61.9,,0.0,
15-2041.01,Biostatisticians,category_8|category_11|category_6|category_1|category_2,,,0.0,,29.17,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,12.5,,0.0,,58.33,,0.0,
15-2051.00,Data Scientists,,,category_6|category_8|category_5|category_11|category_1,,0.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,,48.0,,0.0,,44.0,,0.0
15-2051.01,Business Intelligence Analysts,category_6|category_8|category_5|category_7|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.55,,68.18,,4.55,,22.73,,0.0,
15-2051.02,Clinical Data Managers,category_6|category_5|category_7|category_8|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,,85.0,,5.0,,5.0,,0.0,
15-2099.01,Bioinformatics Technicians,category_6|category_8|category_11|category_7|category_12,,,0.0,,4.11,,1.89,,0.0,,0.0,,0.0,,0.0,,0.0,,50.89,,2.45,,40.66,,0.0,
17-1011.00,"Architects, Except Landscape and Naval",,,category_8|category_6|category_7|category_2|category_1,,0.0,,0.0,,0.0,,0.0,,4.35,,0.0,,0.0,,0.0,,39.13,,13.04,,43.48,,0.0
17-1012.00,Landscape Architects,category_6|category_7|category_8|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,85.0,,10.0,,5.0,,0.0,
17-1021.00,Cartographers and Photogrammetrists,category_3|category_6|category_5|category_8|category_4,,,0.0,,0.0,,0.0,,0.0,,0.0,,35.73,,10.63,,11.15,,30.02,,1.48,,10.99,,0.0,
17-1022.00,Surveyors,category_6|category_4|category_2|category_5|category_3,,,0.0,,0.0,,0.0,,0.0,,15.79,,5.26,,21.05,,10.53,,47.37,,0.0,,0.0,,0.0,
17-1022.01,Geodetic Surveyors,category_6|category_2|category_4|category_5|category_7,,,0.0,,0.0,,0.0,,0.0,,3.7,,0.0,,3.7,,3.7,,81.48,,3.7,,3.7,,0.0,
17-2011.00,Aerospace Engineers,,,category_6|category_5|category_8|category_1|category_2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,17.68,,79.99,,0.0,,2.33,,0.0
17-2021.00,Agricultural Engineers,category_6|category_8|category_11|category_5|category_1,,,0.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,,75.0,,0.0,,10.0,,0.0,
17-2031.00,Bioengineers and Biomedical Engineers,category_6|category_8|category_11|category_12|category_5,,,0.0,,13.04,,13.04,,0.0,,0.0,,0.0,,0.0,,4.35,,43.48,,0.0,,26.09,,0.0,
17-2041.00,Chemical Engineers,category_6|category_7|category_9|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,91.3,,4.35,,0.0,,4.35,
17-2051.00,Civil Engineers,category_6|category_8|category_7|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,85.71,,4.76,,9.52,,0.0,
17-2051.01,Transportation Engineers,category_6|category_5|category_7|category_8|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,9.09,,77.27,,9.09,,4.55,,0.0,
17-2051.02,Water/Wastewater Engineers,category_6|category_8|category_10|category_1|category_2,,,4.35,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,69.57,,0.0,,26.09,,0.0,
17-2061.00,Computer Hardware Engineers,category_6|category_8|category_4|category_11|category_10,,,3.45,,6.9,,0.0,,0.0,,0.0,,0.0,,6.9,,0.0,,48.28,,0.0,,34.48,,0.0,
17-2071.00,Electrical Engineers,category_6|category_5|category_8|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,11.04,,81.62,,0.0,,7.34,,0.0,
17-2072.00,"Electronics Engineers, Except Computer",category_6|category_5|category_8|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,13.81,,83.3,,0.0,,2.89,,0.0,
17-2072.01,Radio Frequency Identification Device Specialists,category_6|category_5|category_8|category_2|category_7,,,0.0,,0.0,,0.0,,0.0,,5.58,,0.0,,0.0,,10.14,,74.83,,1.79,,7.66,,0.0,
17-2081.00,Environmental Engineers,category_6|category_8|category_5|category_7|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.76,,61.9,,4.76,,28.57,,0.0,
17-2111.02,Fire-Prevention and Protection Engineers,category_6|category_5|category_7|category_8|category_11,,,0.0,,3.85,,0.0,,0.0,,0.0,,0.0,,0.0,,3.85,,84.62,,3.85,,3.85,,0.0,
17-2112.00,Industrial Engineers,category_6|category_4|category_8|category_2|category_7,,,0.0,,0.0,,0.0,,0.0,,7.54,,0.0,,15.81,,2.58,,58.62,,4.36,,11.09,,0.0,
17-2112.01,Human Factors Engineers and Ergonomists,category_8|category_6|category_7|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,40.0,,10.0,,50.0,,0.0,
17-2112.02,Validation Engineers,category_6|category_5|category_8|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,,90.0,,0.0,,5.0,,0.0,
17-2112.03,Manufacturing Engineers,category_6|category_5|category_4|category_10|category_1,,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,,16.0,,76.0,,0.0,,0.0,,0.0,
17-2121.00,Marine Engineers and Naval Architects,category_6|category_3|category_4|category_10|category_2,,,10.53,,0.0,,0.0,,0.0,,5.26,,15.79,,10.53,,5.26,,52.63,,0.0,,0.0,,0.0,
17-2131.00,Materials Engineers,category_6|category_11|category_5|category_8|category_10,,,4.0,,8.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,,80.0,,0.0,,4.0,,0.0,
17-2141.00,Mechanical Engineers,category_6|category_5|category_3|category_4|category_2,,,0.0,,0.0,,0.0,,0.0,,1.34,,8.93,,8.32,,28.63,,52.29,,0.0,,0.49,,0.0,
17-2141.01,Fuel Cell Engineers,category_6|category_8|category_1|category_2|category_3,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,57.14,,0.0,,42.86,,0.0,
17-2141.02,Automotive Engineers,category_6|category_8|category_3|category_9|category_11,,,0.0,,4.76,,0.0,,0.0,,0.0,,4.76,,0.0,,0.0,,71.43,,0.0,,14.29,,4.76,
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",category_6|category_7|category_8|category_4|category_5,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.64,,0.64,,79.05,,16.69,,2.98,,0.0,
17-2161.00,Nuclear Engineers,category_6|category_8|category_1|category_2|category_3,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,80.95,,0.0,,19.05,,0.0,
17-2171.00,Petroleum Engineers,category_6|category_9|category_2|category_8|category_1,,,0.0,,0.0,,0.0,,0.0,,7.55,,0.0,,0.0,,0.0,,71.61,,0.0,,5.41,,15.43,
17-2199.03,"Energy Engineers, Except Wind and Solar",,,category_6|category_5|category_2|category_3|category_4,,0.0,,0.0,,0.0,,0.0,,5.0,,5.0,,5.0,,10.0,,65.0,,5.0,,5.0,,0.0
17-2199.05,Mechatronics Engineers,category_6|category_4|category_5|category_3|category_8,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.2,,21.46,,10.01,,66.14,,0.0,,1.2,,0.0,
17-2199.06,Microsystems Engineers,category_8|category_6|category_11|category_7|category_5,,,0.0,,21.81,,0.0,,0.0,,0.0,,0.0,,0.0,,0.3,,30.61,,13.11,,34.17,,0.0,
17-2199.07,Photonics Engineers,category_6|category_8|category_5|category_11|category_1,,,0.0,,4.76,,0.0,,0.0,,0.0,,0.0,,0.0,,4.76,,52.38,,0.0,,38.1,,0.0,
17-2199.08,Robotics Engineers,category_6|category_5|category_8|category_7|category_11,,,0.0,,6.67,,0.0,,0.0,,0.0,,0.0,,3.33,,16.67,,50.0,,6.67,,16.67,,0.0,
17-2199.09,Nanosystems Engineers,category_11|category_6|category_7|category_8|category_12,,,0.0,,57.14,,9.52,,0.0,,0.0,,0.0,,0.0,,0.0,,14.29,,9.52,,9.52,,0.0,
17-2199.10,Wind Energy Engineers,category_6|category_8|category_7|category_4|category_10,,,2.86,,2.39,,0.0,,0.0,,0.0,,1.59,,3.94,,0.0,,69.64,,5.67,,13.92,,0.0,
17-2199.11,Solar Energy Systems Engineers,category_6|category_3|category_5|category_2|category_4,,,3.7,,0.0,,0.0,,3.7,,7.41,,11.11,,7.41,,11.11,,55.56,,0.0,,0.0,,0.0,
17-3011.00,Architectural and Civil Drafters,,,category_6|category_5|category_3|category_7|category_8,,0.0,,0.0,,0.0,,0.0,,0.0,,12.14,,0.0,,25.56,,42.13,,10.08,,10.08,,0.0
17-3012.00,Electrical and Electronics Drafters,category_6|category_5|category_3|category_4|category_2,,,0.0,,0.0,,0.0,,0.0,,6.1,,21.07,,6.74,,23.56,,40.08,,0.0,,2.46,,0.0,
17-3013.00,Mechanical Drafters,,,category_2|category_5|category_6|category_3|category_1,,0.0,,0.0,,0.0,,1.07,,44.43,,12.03,,0.0,,23.03,,19.44,,0.0,,0.0,,0.0
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,category_3|category_5|category_2|category_6|category_1,,,0.0,,0.0,,0.0,,0.0,,19.69,,39.23,,0.0,,33.16,,7.92,,0.0,,0.0,,0.0,
17-3022.00,Civil Engineering Technologists and Technicians,category_3|category_4|category_5|category_6|category_2,,,0.0,,0.0,,0.0,,0.0,,2.65,,29.77,,28.09,,21.15,,18.34,,0.0,,0.0,,0.0,
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,,,category_5|category_4|category_2|category_6|category_3,,0.0,,0.0,,0.0,,0.0,,16.31,,13.49,,21.49,,33.95,,14.75,,0.0,,0.0,,0.0
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,category_3|category_5|category_6|category_2|category_4,,,0.0,,3.72,,0.0,,0.97,,9.86,,31.72,,7.33,,29.83,,10.97,,0.0,,5.59,,0.0,
17-3024.01,Robotics Technicians,category_5|category_3|category_6|category_2|category_7,,,0.0,,0.0,,0.0,,0.0,,9.09,,22.73,,0.0,,45.45,,18.18,,4.55,,0.0,,0.0,
17-3025.00,Environmental Engineering Technologists and Technicians,category_6|category_2|category_3|category_4|category_7,,,0.0,,0.0,,0.0,,0.0,,10.79,,8.19,,6.64,,1.46,,67.31,,4.74,,0.88,,0.0,
17-3026.00,Industrial Engineering Technologists and Technicians,,,category_6|category_5|category_8|category_4|category_1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8.01,,28.97,,52.52,,0.0,,10.51,,0.0
17-3026.01,Nanotechnology Engineering Technologists and Technicians,category_11|category_6|category_8|category_12|category_3,,,0.0,,40.0,,10.0,,0.0,,0.0,,5.0,,0.0,,5.0,,30.0,,0.0,,10.0,,0.0,
17-3027.00,Mechanical Engineering Technologists and Technicians,category_6|category_3|category_5|category_4|category_2,,,0.0,,0.0,,0.0,,0.0,,7.8,,32.84,,8.76,,14.09,,36.52,,0.0,,0.0,,0.0,
17-3027.01,Automotive Engineering Technicians,category_5|category_6|category_3|category_8|category_2,,,0.0,,0.0,,0.0,,0.0,,3.7,,14.81,,3.7,,37.04,,29.63,,0.0,,11.11,,0.0,
17-3029.01,Non-Destructive Testing Specialists,category_2|category_4|category_5|category_3|category_6,,,0.0,,0.0,,0.0,,0.0,,68.18,,4.55,,9.09,,9.09,,4.55,,4.55,,0.0,,0.0,
17-3029.08,Photonics Technicians,category_5|category_2|category_6|category_3|category_4,,,0.0,,0.0,,0.0,,0.0,,27.27,,9.09,,4.55,,40.91,,13.64,,0.0,,4.55,,0.0,
17-3031.00,Surveying and Mapping Technicians,,,category_2|category_5|category_8|category_6|category_3,,0.0,,0.0,,0.0,,2.9,,32.74,,4.93,,0.0,,23.55,,8.09,,4.77,,18.2,,4.82
19-1011.00,Animal Scientists,category_11|category_8|category_6|category_12|category_3,,,0.0,,43.48,,13.04,,0.0,,0.0,,4.35,,0.0,,4.35,,13.04,,0.0,,21.74,,0.0,
19-1012.00,Food Scientists and Technologists,category_6|category_3|category_5|category_8|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,9.09,,0.0,,4.55,,81.82,,0.0,,4.55,,0.0,
19-1013.00,Soil and Plant Scientists,category_8|category_6|category_11|category_3|category_5,,,4.76,,19.05,,4.76,,0.0,,0.0,,4.76,,0.0,,4.76,,23.81,,4.76,,28.57,,4.76,
19-1021.00,Biochemists and Biophysicists,category_12|category_6|category_11|category_10|category_1,,,10.0,,25.0,,40.0,,0.0,,0.0,,0.0,,0.0,,0.0,,25.0,,0.0,,0.0,,0.0,
19-1022.00,Microbiologists,category_6|category_8|category_5|category_7|category_12,,,0.0,,0.0,,4.55,,0.0,,0.0,,0.0,,0.0,,9.09,,63.64,,9.09,,13.64,,0.0,
19-1023.00,Zoologists and Wildlife Biologists,,,category_6|category_8|category_1|category_2|category_3,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,72.41,,0.0,,27.59,,0.0
19-1029.01,Bioinformatics Scientists,category_8|category_11|category_12|category_6|category_1,,,0.0,,28.04,,23.36,,0.0,,0.0,,0.0,,0.0,,0.0,,6.5,,0.0,,42.1,,0.0,
19-1029.02,Molecular and Cellular Biologists,category_6|category_12|category_11|category_8|category_1,,,0.0,,23.08,,34.62,,0.0,,0.0,,0.0,,0.0,,0.0,,34.62,,0.0,,7.69,,0.0,
19-1029.03,Geneticists,category_12|category_8|category_11|category_6|category_7,,,0.0,,20.0,,36.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,,4.0,,32.0,,4.0,
19-1029.04,Biologists,category_8|category_6|category_12|category_1|category_2,,,0.0,,0.0,,21.61,,0.0,,0.0,,0.0,,0.0,,0.0,,23.4,,0.0,,54.99,,0.0,
19-1031.00,Conservation Scientists,category_6|category_8|category_7|category_3|category_11,,,0.0,,4.35,,0.0,,0.0,,0.0,,4.35,,0.0,,0.0,,69.57,,8.7,,13.04,,0.0,
19-1031.02,Range Managers,category_6|category_5|category_8|category_2|category_11,,,0.0,,4.17,,0.0,,0.0,,4.17,,0.0,,0.0,,8.33,,75.0,,0.0,,8.33,,0.0,
19-1031.03,Park Naturalists,,,category_6|category_2|category_8|category_4|category_5,,0.0,,0.0,,0.0,,0.0,,10.71,,0.0,,3.57,,3.57,,75.0,,0.0,,7.14,,0.0
19-1032.00,Foresters,,,category_6|category_5|category_2|category_8|category_3,,0.0,,0.0,,0.0,,0.0,,4.17,,2.08,,0.0,,16.67,,72.92,,0.0,,4.17,,0.0
19-1041.00,Epidemiologists,category_8|category_12|category_11|category_1|category_2,,,0.0,,11.11,,22.22,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,66.67,,0.0,
19-1042.00,"Medical Scientists, Except Epidemiologists",category_11|category_12|category_8|category_6|category_9,,,0.0,,35.91,,24.7,,0.0,,0.0,,0.0,,0.0,,0.0,,7.95,,0.0,,24.59,,6.85,
19-2011.00,Astronomers,category_11|category_12|category_8|category_1|category_2,,,0.0,,65.22,,26.09,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8.7,,0.0,
19-2012.00,Physicists,category_11|category_12|category_9|category_6|category_1,,,0.0,,49.04,,39.06,,0.0,,0.0,,0.0,,0.0,,0.0,,3.77,,0.0,,0.0,,8.14,
19-2021.00,Atmospheric and Space Scientists,category_6|category_8|category_11|category_12|category_1,,,0.0,,15.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,60.0,,0.0,,20.0,,0.0,
19-2031.00,Chemists,category_6|category_11|category_8|category_7|category_1,,,0.0,,30.02,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,55.91,,4.16,,9.91,,0.0,
19-2032.00,Materials Scientists,category_6|category_11|category_8|category_5|category_7,,,0.0,,14.29,,4.76,,0.0,,0.0,,0.0,,0.0,,4.76,,61.9,,4.76,,9.52,,0.0,
19-2041.00,"Environmental Scientists and Specialists, Including Health",category_6|category_2|category_8|category_7|category_11,,,0.0,,3.99,,0.0,,0.0,,21.32,,0.0,,0.76,,0.0,,47.49,,12.66,,13.78,,0.0,
19-2041.01,Climate Change Policy Analysts,category_8|category_6|category_11|category_7|category_10,,,4.35,,13.04,,4.35,,0.0,,0.0,,0.0,,0.0,,0.0,,13.04,,4.35,,60.87,,0.0,
19-2041.02,Environmental Restoration Planners,category_6|category_8|category_7|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,50.0,,9.09,,40.91,,0.0,
19-2041.03,Industrial Ecologists,category_8|category_6|category_11|category_7|category_1,,,0.0,,8.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,21.74,,4.35,,65.22,,0.0,
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",category_6|category_8|category_11|category_7|category_12,,,0.0,,7.41,,3.7,,0.0,,0.0,,0.0,,0.0,,0.0,,48.15,,3.7,,37.04,,0.0,
19-2043.00,Hydrologists,,,category_6|category_8|category_1|category_2|category_3,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,63.64,,0.0,,36.36,,0.0
19-2099.01,Remote Sensing Scientists and Technologists,category_6|category_8|category_7|category_5|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,,60.0,,16.0,,20.0,,0.0,
19-3011.00,Economists,category_8|category_11|category_6|category_12|category_1,,,0.0,,25.0,,4.17,,0.0,,0.0,,0.0,,0.0,,0.0,,20.83,,0.0,,50.0,,0.0,
19-3011.01,Environmental Economists,category_11|category_8|category_6|category_12|category_1,,,0.0,,44.44,,3.7,,0.0,,0.0,,0.0,,0.0,,0.0,,11.11,,0.0,,40.74,,0.0,
19-3022.00,Survey Researchers,category_6|category_8|category_9|category_10|category_11,,,3.85,,3.85,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,50.0,,0.0,,38.46,,3.85,
19-3032.00,Industrial-Organizational Psychologists,category_8|category_11|category_4|category_5|category_6,,,0.0,,30.77,,0.0,,0.0,,0.0,,0.0,,3.85,,3.85,,3.85,,0.0,,57.69,,0.0,
19-3033.00,Clinical and Counseling Psychologists,category_12|category_11|category_8|category_1|category_2,,,0.0,,44.0,,48.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8.0,,0.0,
19-3034.00,School Psychologists,category_9|category_8|category_10|category_11|category_1,,,15.38,,3.85,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,23.08,,57.69,
19-3039.02,Neuropsychologists,category_12|category_11|category_1|category_2|category_3,,,0.0,,16.0,,84.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
19-3039.03,Clinical Neuropsychologists,category_12|category_11|category_1|category_2|category_3,,,0.0,,8.33,,91.67,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
19-3041.00,Sociologists,category_11|category_8|category_6|category_12|category_1,,,0.0,,50.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0.0,,10.0,,0.0,,30.0,,0.0,
19-3051.00,Urban and Regional Planners,category_8|category_6|category_10|category_1|category_2,,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,40.0,,0.0,,56.0,,0.0,
19-3091.00,Anthropologists and Archeologists,category_11|category_8|category_6|category_4|category_5,,,0.0,,40.0,,0.0,,0.0,,0.0,,0.0,,5.0,,5.0,,20.0,,0.0,,30.0,,0.0,
19-3092.00,Geographers,category_6|category_11|category_8|category_5|category_12,,,0.0,,25.0,,5.0,,0.0,,0.0,,0.0,,0.0,,5.0,,45.0,,0.0,,20.0,,0.0,
19-3093.00,Historians,category_8|category_6|category_1|category_4|category_11,,,0.0,,6.52,,0.0,,9.39,,0.79,,0.46,,8.17,,0.0,,10.19,,0.0,,64.48,,0.0,
19-3094.00,Political Scientists,category_11|category_8|category_12|category_1|category_2,,,0.0,,88.46,,3.85,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7.69,,0.0,
19-3099.01,Transportation Planners,category_6|category_8|category_1|category_2|category_3,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,55.0,,0.0,,45.0,,0.0,
19-4012.00,Agricultural Technicians,category_2|category_6|category_5|category_11|category_7,,,0.0,,7.2,,0.0,,3.19,,41.34,,0.0,,5.47,,13.19,,18.19,,5.96,,5.47,,0.0,
19-4012.01,Precision Agriculture Technicians,category_6|category_5|category_3|category_2|category_4,,,0.0,,0.0,,0.0,,0.0,,8.7,,17.39,,4.35,,30.43,,34.78,,0.0,,4.35,,0.0,
19-4013.00,Food Science Technicians,category_6|category_5|category_2|category_8|category_4,,,0.0,,1.19,,1.19,,0.61,,16.5,,0.0,,12.35,,23.04,,32.33,,0.0,,12.78,,0.0,
19-4021.00,Biological Technicians,category_6|category_2|category_4|category_12|category_3,,,0.0,,0.21,,5.59,,0.0,,14.46,,2.45,,14.46,,0.0,,62.82,,0.0,,0.0,,0.0,
19-4031.00,Chemical Technicians,category_6|category_2|category_4|category_5|category_1,,,0.0,,0.0,,0.0,,0.0,,33.34,,0.0,,22.42,,0.5,,43.74,,0.0,,0.0,,0.0,
19-4042.00,"Environmental Science and Protection Technicians, Including Health",category_6|category_5|category_2|category_3|category_1,,,0.0,,0.0,,0.0,,0.0,,4.55,,4.55,,0.0,,22.73,,68.18,,0.0,,0.0,,0.0,
19-4051.02,Nuclear Monitoring Technicians,category_5|category_2|category_3|category_6|category_4,,,0.0,,0.0,,0.0,,0.0,,27.15,,16.59,,11.06,,29.35,,15.86,,0.0,,0.0,,0.0,
19-4061.00,Social Science Research Assistants,category_6|category_8|category_4|category_7|category_11,,,0.0,,0.36,,0.0,,0.0,,0.0,,0.0,,8.61,,0.0,,52.73,,1.59,,36.7,,0.0,
19-4071.00,Forest and Conservation Technicians,category_2|category_5|category_6|category_4|category_3,,,0.0,,0.0,,0.0,,0.0,,35.31,,4.57,,10.42,,34.89,,13.99,,0.83,,0.0,,0.0,
19-4092.00,Forensic Science Technicians,category_3|category_2|category_7|category_6|category_8,,,0.0,,0.0,,0.0,,0.0,,29.31,,36.29,,0.0,,0.0,,15.3,,17.06,,2.05,,0.0,
19-4099.01,Quality Control Analysts,category_2|category_6|category_5|category_3|category_4,,,0.0,,0.0,,0.0,,5.65,,37.77,,9.62,,8.82,,10.24,,27.9,,0.0,,0.0,,0.0,
19-4099.03,Remote Sensing Technicians,category_6|category_2|category_5|category_7|category_4,,,0.0,,0.0,,0.0,,0.0,,9.49,,4.5,,6.04,,9.2,,62.04,,8.41,,0.32,,0.0,
19-5011.00,Occupational Health and Safety Specialists,category_6|category_7|category_8|category_3|category_5,,,0.0,,0.0,,0.0,,0.0,,0.0,,4.35,,0.0,,4.35,,73.91,,8.7,,8.7,,0.0,
19-5012.00,Occupational Health and Safety Technicians,category_6|category_5|category_2|category_4|category_3,,,0.0,,0.0,,0.0,,0.0,,9.52,,4.76,,9.52,,19.05,,47.62,,4.76,,4.76,,0.0,
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,,,category_8|category_4|category_5|category_6|category_2,,0.0,,0.0,,0.0,,0.0,,8.33,,0.0,,20.83,,20.83,,12.5,,4.17,,33.33,,0.0
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",category_6|category_8|category_5|category_9|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.51,,56.31,,0.0,,40.69,,0.5,
21-1013.00,Marriage and Family Therapists,,,category_8|category_9|category_11|category_1|category_2,,0.0,,3.33,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,86.67,,10.0
21-1014.00,Mental Health Counselors,category_8|category_9|category_10|category_1|category_2,,,3.57,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,89.29,,7.14,
21-1015.00,Rehabilitation Counselors,,,category_8|category_6|category_9|category_1|category_2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14.71,,0.0,,82.35,,2.94
21-1021.00,"Child, Family, and School Social Workers",category_6|category_8|category_5|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.51,,68.66,,0.0,,25.83,,0.0,
