ONET_SOC_CODE,Title,education_required_level_ranked,education_importance_ranked,education_required_quantity_ranked,education_category_10_required_level_value,education_category_10_required_quantity_value,education_category_11_required_level_value,education_category_11_required_quantity_value,education_category_12_required_level_value,education_category_12_required_quantity_value,education_category_1_required_level_value,education_category_1_required_quantity_value,education_category_2_required_level_value,education_category_2_required_quantity_value,education_category_3_required_level_value,education_category_3_required_quantity_value,education_category_4_required_level_value,education_category_4_required_quantity_value,education_category_5_required_level_value,education_category_5_required_quantity_value,education_category_6_required_level_value,education_category_6_required_quantity_value,education_category_7_required_level_value,education_category_7_required_quantity_value,education_category_8_required_level_value,education_category_8_required_quantity_value,education_category_9_required_level_value,education_category_9_required_quantity_value
11-3121.00,Human Resources Managers,category_6|category_7|category_3|category_8|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,4.55,,0.0,,0.0,,81.82,,9.09,,4.55,,0.0,
11-3131.00,Training and Development Managers,category_6|category_8|category_7|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,71.43,,7.14,,21.43,,0.0,
11-9021.00,Construction Managers,category_6|category_2|category_3|category_4|category_5,,,0.0,,0.0,,0.0,,5.0,,15.0,,15.0,,10.0,,10.0,,40.0,,0.0,,5.0,,0.0,
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",,,category_6|category_5|category_2|category_4|category_3,,0.0,,0.0,,0.0,,0.0,,12.5,,4.17,,12.5,,22.92,,43.75,,0.0,,2.08,,2.08
11-9032.00,"Education Administrators, Kindergarten through Secondary",,,category_8|category_6|category_9|category_7|category_11,,0.0,,0.03,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,27.33,,0.08,,62.27,,10.3
11-9033.00,"Education Administrators, Postsecondary",category_8|category_11|category_6|category_12|category_1,,,0.0,,37.24,,7.2,,0.0,,0.0,,0.0,,0.0,,0.0,,7.62,,0.0,,47.94,,0.0,
11-9041.00,Architectural and Engineering Managers,category_6|category_8|category_10|category_9|category_5,,,12.15,,1.15,,0.0,,0.0,,0.0,,0.0,,0.0,,1.15,,45.52,,1.15,,27.04,,11.85,
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,category_6|category_8|category_5|category_3|category_12,,,0.0,,1.33,,1.43,,0.0,,1.33,,4.77,,0.0,,5.82,,55.44,,1.24,,28.62,,0.0,
11-9051.00,Food Service Managers,category_2|category_3|category_5|category_1|category_6,,,0.0,,0.0,,0.0,,16.14,,29.66,,21.34,,4.56,,18.56,,9.73,,0.0,,0.0,,0.0,
11-9071.00,Gambling Managers,category_2|category_4|category_3|category_6|category_1,,,0.0,,0.0,,0.0,,0.0,,56.51,,6.74,,30.01,,0.0,,6.74,,0.0,,0.0,,0.0,
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",,,category_6|category_1|category_4|category_5|category_8,,0.0,,0.0,,0.0,,15.55,,1.31,,0.84,,11.15,,9.22,,56.48,,0.0,,5.44,,0.0
11-9081.00,Lodging Managers,category_6|category_1|category_4|category_5|category_2,,,0.0,,0.0,,0.0,,18.32,,1.15,,0.0,,5.89,,3.05,,71.6,,0.0,,0.0,,0.0,
11-9111.00,Medical and Health Services Managers,category_6|category_8|category_5|category_3|category_2,,,3.57,,0.0,,3.57,,0.0,,3.57,,7.14,,3.57,,10.71,,46.43,,0.0,,21.43,,0.0,
11-9121.00,Natural Sciences Managers,category_6|category_12|category_8|category_11|category_5,,,0.0,,13.62,,26.7,,0.0,,0.0,,0.0,,0.0,,7.29,,35.07,,2.24,,15.07,,0.0,
11-9121.01,Clinical Research Coordinators,category_6|category_3|category_4|category_2|category_5,,,0.0,,1.27,,0.0,,0.0,,7.03,,11.58,,9.24,,5.92,,60.13,,0.0,,4.83,,0.0,
11-9121.02,Water Resource Specialists,category_6|category_8|category_1|category_2|category_3,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,50.0,,0.0,,50.0,,0.0,
11-9131.00,Postmasters and Mail Superintendents,category_2|category_6|category_4|category_3|category_5,,,0.0,,0.0,,0.0,,0.0,,62.1,,6.69,,11.07,,6.69,,13.44,,0.0,,0.0,,0.0,
11-9141.00,"Property, Real Estate, and Community Association Managers",,,category_6|category_5|category_4|category_2|category_7,,0.0,,0.0,,0.0,,0.0,,11.11,,0.0,,14.81,,22.22,,48.15,,3.7,,0.0,,0.0
11-9151.00,Social and Community Service Managers,category_6|category_8|category_5|category_9|category_2,,,0.0,,0.0,,0.0,,0.0,,7.24,,0.0,,2.19,,8.15,,50.36,,0.0,,23.93,,8.12,
11-9161.00,Emergency Management Directors,category_6|category_8|category_4|category_7|category_2,,,0.0,,0.0,,0.0,,0.0,,4.55,,0.0,,9.09,,4.55,,59.09,,9.09,,13.64,,0.0,
11-9171.00,Funeral Home Managers,category_5|category_2|category_3|category_7|category_4,,,0.0,,0.0,,0.0,,0.0,,25.54,,14.63,,3.49,,49.85,,1.16,,5.33,,0.0,,0.0,
11-9179.01,Fitness and Wellness Coordinators,category_8|category_6|category_2|category_5|category_1,,,0.0,,0.0,,0.0,,0.0,,3.85,,0.0,,0.0,,3.85,,42.31,,0.0,,50.0,,0.0,
11-9179.02,Spa Managers,,,category_5|category_2|category_3|category_6|category_4,,0.0,,0.0,,0.0,,0.0,,20.46,,11.77,,6.7,,53.01,,8.07,,0.0,,0.0,,0.0
11-9199.01,Regulatory Affairs Managers,category_6|category_8|category_4|category_7|category_11,,,0.0,,4.35,,0.0,,0.0,,0.0,,0.0,,4.35,,0.0,,73.91,,4.35,,13.04,,0.0,
11-9199.02,Compliance Managers,category_6|category_8|category_2|category_3|category_5,,,0.17,,0.0,,0.0,,0.0,,8.93,,6.72,,1.27,,5.33,,63.38,,0.0,,14.21,,0.0,
11-9199.08,Loss Prevention Managers,category_6|category_2|category_3|category_4|category_5,,,0.0,,0.0,,0.0,,0.0,,13.64,,9.09,,9.09,,9.09,,54.55,,4.55,,0.0,,0.0,
11-9199.09,Wind Energy Operations Managers,category_5|category_6|category_2|category_3|category_4,,,0.0,,0.0,,0.0,,0.0,,14.92,,7.07,,3.55,,39.7,,34.76,,0.0,,0.0,,0.0,
11-9199.10,Wind Energy Development Managers,category_6|category_5|category_8|category_7|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,18.27,,66.85,,2.61,,12.28,,0.0,
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,category_6|category_7|category_8|category_9|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,77.27,,9.09,,9.09,,4.55,
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",category_6|category_2|category_8|category_4|category_1,,,0.0,,0.0,,0.0,,1.34,,37.97,,0.0,,2.56,,0.0,,41.33,,0.0,,16.8,,0.0,
13-1021.00,"Buyers and Purchasing Agents, Farm Products",,,category_6|category_2|category_3|category_4|category_1,,0.0,,0.0,,0.0,,0.0,,16.74,,1.11,,0.06,,0.0,,82.1,,0.0,,0.0,,0.0
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",,,category_6|category_5|category_2|category_1|category_4,,0.0,,0.0,,0.0,,5.05,,16.25,,0.29,,0.59,,21.62,,56.19,,0.0,,0.0,,0.0
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",category_6|category_2|category_5|category_7|category_1,,,0.0,,0.0,,0.0,,0.0,,15.0,,0.0,,0.0,,10.0,,65.0,,10.0,,0.0,,0.0,
13-1031.00,"Claims Adjusters, Examiners, and Investigators",category_6|category_2|category_5|category_4|category_11,,,0.0,,3.95,,0.0,,0.0,,13.11,,2.59,,11.93,,12.01,,55.82,,0.0,,0.58,,0.0,
13-1032.00,"Insurance Appraisers, Auto Damage",category_4|category_3|category_2|category_5|category_6,,,0.0,,0.0,,0.0,,0.0,,23.88,,28.84,,30.6,,15.21,,1.47,,0.0,,0.0,,0.0,
13-1041.01,Environmental Compliance Inspectors,category_6|category_5|category_2|category_1|category_3,,,0.0,,0.0,,0.0,,0.0,,10.0,,0.0,,0.0,,15.0,,75.0,,0.0,,0.0,,0.0,
13-1041.03,Equal Opportunity Representatives and Officers,category_6|category_4|category_8|category_7|category_10,,,2.77,,0.0,,0.0,,0.0,,0.0,,0.0,,14.07,,0.0,,65.76,,4.44,,11.87,,1.09,
13-1041.04,Government Property Inspectors and Investigators,category_6|category_5|category_3|category_4|category_2,,,0.0,,0.0,,0.0,,0.0,,9.44,,16.22,,10.32,,24.68,,39.34,,0.0,,0.0,,0.0,
13-1041.06,Coroners,category_6|category_5|category_7|category_2|category_4,,,0.0,,0.0,,0.0,,0.0,,10.0,,5.0,,10.0,,15.0,,35.0,,15.0,,10.0,,0.0,
13-1041.07,Regulatory Affairs Specialists,category_6|category_8|category_7|category_12|category_1,,,0.0,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,80.0,,5.0,,10.0,,0.0,
13-1041.08,Customs Brokers,,,category_6|category_2|category_3|category_4|category_5,,0.0,,0.0,,0.0,,0.0,,30.0,,15.0,,15.0,,5.0,,35.0,,0.0,,0.0,,0.0
13-1051.00,Cost Estimators,category_6|category_5|category_2|category_8|category_1,,,0.0,,0.0,,0.0,,0.0,,4.55,,0.0,,0.0,,9.09,,81.82,,0.0,,4.55,,0.0,
13-1071.00,Human Resources Specialists,category_6|category_8|category_2|category_5|category_4,,,0.0,,0.0,,0.0,,0.0,,13.52,,1.31,,4.82,,7.16,,46.59,,1.69,,24.91,,0.0,
13-1074.00,Farm Labor Contractors,,,category_2|category_1|category_6|category_3|category_4,,0.0,,0.0,,0.0,,23.43,,48.54,,10.68,,5.34,,0.0,,12.01,,0.0,,0.0,,0.0
13-1075.00,Labor Relations Specialists,category_6|category_4|category_5|category_7|category_8,,,9.52,,4.76,,0.0,,4.76,,4.76,,4.76,,9.52,,9.52,,33.33,,9.52,,9.52,,0.0,
13-1081.00,Logisticians,category_6|category_2|category_3|category_4|category_1,,,0.0,,0.0,,0.0,,0.0,,8.33,,8.33,,8.33,,0.0,,75.0,,0.0,,0.0,,0.0,
13-1081.01,Logistics Engineers,category_6|category_4|category_5|category_8|category_9,,,0.0,,0.0,,4.35,,0.0,,0.0,,0.0,,8.7,,4.35,,73.91,,0.0,,4.35,,4.35,
13-1081.02,Logistics Analysts,category_6|category_5|category_4|category_8|category_9,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.55,,22.73,,63.64,,0.0,,4.55,,4.55,
13-1082.00,Project Management Specialists,,,category_6|category_5|category_2|category_7|category_8,,0.0,,0.0,,0.0,,0.0,,6.06,,3.03,,3.03,,12.12,,63.64,,6.06,,6.06,,0.0
13-1111.00,Management Analysts,category_6|category_8|category_4|category_7|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,9.52,,0.0,,57.14,,9.52,,23.81,,0.0,
13-1121.00,"Meeting, Convention, and Event Planners",category_6|category_4|category_2|category_5|category_3,,,0.0,,0.0,,0.0,,0.0,,7.85,,6.64,,37.22,,7.49,,40.8,,0.0,,0.0,,0.0,
13-1131.00,Fundraisers,category_6|category_7|category_8|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,90.48,,4.76,,4.76,,0.0,
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",category_6|category_7|category_2|category_1|category_3,,,0.0,,0.0,,0.0,,0.0,,4.76,,0.0,,0.0,,0.0,,85.71,,9.52,,0.0,,0.0,
13-1151.00,Training and Development Specialists,category_6|category_2|category_5|category_4|category_1,,,0.0,,0.0,,0.0,,0.0,,8.7,,0.0,,4.35,,8.7,,78.26,,0.0,,0.0,,0.0,
13-1161.00,Market Research Analysts and Marketing Specialists,,,category_6|category_8|category_1|category_2|category_3,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,70.0,,0.0,,30.0,,0.0
13-1161.01,Search Marketing Strategists,category_6|category_5|category_4|category_3|category_2,,,0.0,,0.0,,0.0,,0.0,,4.35,,8.7,,17.39,,21.74,,47.83,,0.0,,0.0,,0.0,
13-1199.04,Business Continuity Planners,category_6|category_7|category_8|category_4|category_2,,,0.0,,0.0,,0.0,,0.0,,4.35,,4.35,,8.7,,4.35,,47.83,,17.39,,13.04,,0.0,
13-1199.05,Sustainability Specialists,category_6|category_8|category_4|category_7|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.35,,0.0,,52.17,,4.35,,39.13,,0.0,
13-1199.06,Online Merchants,category_6|category_2|category_3|category_4|category_5,,,0.0,,0.0,,0.0,,0.0,,32.67,,12.12,,8.71,,5.22,,41.29,,0.0,,0.0,,0.0,
13-1199.07,Security Management Specialists,category_6|category_3|category_4|category_8|category_7,,,0.0,,0.0,,0.0,,0.0,,0.0,,10.0,,10.0,,0.0,,65.0,,5.0,,10.0,,0.0,
13-2011.00,Accountants and Auditors,,,category_6|category_5|category_7|category_8|category_2,,0.0,,0.0,,0.0,,0.0,,3.45,,3.45,,3.45,,6.9,,68.97,,6.9,,6.9,,0.0
13-2022.00,Appraisers of Personal and Business Property,category_6|category_4|category_5|category_7|category_8,,,8.7,,0.0,,0.0,,0.0,,0.0,,0.0,,17.39,,17.39,,39.13,,8.7,,8.7,,0.0,
13-2023.00,Appraisers and Assessors of Real Estate,category_6|category_5|category_4|category_2|category_3,,,0.0,,0.0,,0.0,,0.0,,4.55,,4.55,,9.09,,27.27,,54.55,,0.0,,0.0,,0.0,
13-2031.00,Budget Analysts,category_6|category_2|category_8|category_4|category_1,,,0.0,,0.0,,0.0,,0.0,,12.57,,0.0,,2.37,,0.0,,77.48,,0.0,,7.59,,0.0,
13-2041.00,Credit Analysts,category_6|category_8|category_1|category_2|category_3,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,95.0,,0.0,,5.0,,0.0,
