O*NET-SOC Code,Title,career_interest_types_ranked_OI,career_interest_types_OI_artistic_value,career_interest_types_OI_conventional_value,career_interest_types_OI_enterprising_value,career_interest_types_OI_investigative_value,career_interest_types_OI_realistic_value,career_interest_types_OI_social_value,career_interest_types_IH_first_interest_high_point_value,career_interest_types_IH_second_interest_high_point_value,career_interest_types_IH_third_interest_high_point_value
17-2199.05,Mechatronics Engineers,realistic|investigative|conventional|artistic|enterprising|social,2.43,4.84,1.72,5.55,5.68,1.58,1.0,2.0,6.0
17-2199.06,Microsystems Engineers,investigative|realistic|conventional|artistic|social|enterprising,1.93,4.91,1.4,6.19,5.48,1.55,2.0,1.0,6.0
17-2199.07,Photonics Engineers,realistic|investigative|conventional|artistic|enterprising|social,2.8,3.96,1.7,5.88,5.9,1.39,1.0,2.0,6.0
17-2199.08,Robotics Engineers,realistic|investigative|conventional|artistic|enterprising|social,1.79,4.48,1.79,5.61,6.18,1.49,1.0,2.0,6.0
17-2199.09,Nanosystems Engineers,investigative|realistic|conventional|enterprising|artistic|social,2.36,4.04,2.57,6.1,5.31,1.47,2.0,1.0,6.0
17-2199.10,Wind Energy Engineers,realistic|investigative|conventional|enterprising|artistic|social,2.22,4.12,3.12,4.54,5.9,1.43,1.0,2.0,6.0
17-2199.11,Solar Energy Systems Engineers,realistic|investigative|conventional|enterprising|artistic|social,2.11,3.96,3.05,5.02,5.97,1.9,1.0,2.0,6.0
17-3011.00,Architectural and Civil Drafters,realistic|conventional|artistic|investigative|social|enterprising,4.48,4.89,1.53,4.23,5.54,1.55,1.0,6.0,3.0
17-3012.00,Electrical and Electronics Drafters,realistic|conventional|investigative|artistic|enterprising|social,3.06,5.53,1.9,3.44,5.62,1.32,1.0,6.0,0.0
17-3013.00,Mechanical Drafters,realistic|conventional|investigative|artistic|enterprising|social,3.62,4.85,1.36,3.79,5.96,1.21,1.0,6.0,2.0
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,realistic|conventional|investigative|enterprising|artistic|social,1.0,5.31,1.44,5.11,6.47,1.0,1.0,6.0,2.0
17-3022.00,Civil Engineering Technologists and Technicians,realistic|investigative|conventional|artistic|enterprising|social,2.88,5.27,2.0,5.37,5.75,1.55,1.0,2.0,6.0
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,realistic|investigative|conventional|social|artistic|enterprising,1.76,5.0,1.31,5.2,6.26,1.78,1.0,2.0,6.0
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,realistic|conventional|investigative|artistic|enterprising|social,1.38,4.58,1.0,4.38,7.0,1.0,1.0,6.0,2.0
17-3024.01,Robotics Technicians,realistic|conventional|investigative|enterprising|social|artistic,1.0,4.67,1.37,3.88,6.94,1.13,1.0,6.0,2.0
17-3025.00,Environmental Engineering Technologists and Technicians,realistic|investigative|conventional|artistic|social|enterprising,1.73,4.8,1.32,5.9,6.28,1.46,1.0,2.0,6.0
17-3026.00,Industrial Engineering Technologists and Technicians,realistic|conventional|investigative|enterprising|social|artistic,1.22,5.2,2.31,5.13,5.34,1.44,1.0,6.0,2.0
17-3026.01,Nanotechnology Engineering Technologists and Technicians,realistic|investigative|conventional|enterprising|artistic|social,1.55,4.83,2.01,4.98,6.16,1.05,1.0,2.0,6.0
17-3027.00,Mechanical Engineering Technologists and Technicians,realistic|investigative|conventional|artistic|social|enterprising,2.19,4.76,1.08,5.37,6.26,1.19,1.0,2.0,6.0
17-3027.01,Automotive Engineering Technicians,realistic|investigative|conventional|artistic|enterprising|social,1.41,4.45,1.25,5.37,7.0,1.0,1.0,2.0,6.0
17-3028.00,Calibration Technologists and Technicians,realistic|conventional|investigative|social|artistic|enterprising,1.12,5.59,1.0,4.13,6.3,1.56,1.0,6.0,2.0
17-3029.01,Non-Destructive Testing Specialists,realistic|investigative|conventional|social|artistic|enterprising,1.34,4.56,1.0,4.97,6.41,1.4,1.0,2.0,6.0
17-3029.08,Photonics Technicians,realistic|conventional|investigative|artistic|enterprising|social,1.0,5.46,1.0,4.18,7.0,1.0,1.0,6.0,2.0
17-3031.00,Surveying and Mapping Technicians,realistic|conventional|investigative|artistic|enterprising|social,1.91,5.63,1.0,4.03,5.94,1.0,1.0,6.0,2.0
19-1011.00,Animal Scientists,investigative|realistic|conventional|enterprising|social|artistic,1.96,3.36,2.4,6.93,5.24,1.97,2.0,1.0,0.0
19-1012.00,Food Scientists and Technologists,investigative|realistic|conventional|enterprising|artistic|social,2.45,3.95,2.58,5.71,5.05,2.16,2.0,1.0,6.0
19-1013.00,Soil and Plant Scientists,investigative|realistic|conventional|artistic|enterprising|social,2.11,3.41,1.71,6.71,6.43,1.67,2.0,1.0,0.0
19-1021.00,Biochemists and Biophysicists,investigative|realistic|conventional|artistic|social|enterprising,2.61,3.64,1.83,7.0,5.11,2.15,2.0,1.0,0.0
19-1022.00,Microbiologists,investigative|realistic|conventional|social|artistic|enterprising,1.92,3.85,1.07,7.0,5.29,1.98,2.0,1.0,6.0
19-1023.00,Zoologists and Wildlife Biologists,investigative|realistic|conventional|social|enterprising|artistic,2.31,3.7,2.33,6.99,5.43,2.55,2.0,1.0,0.0
19-1029.01,Bioinformatics Scientists,investigative|conventional|realistic|artistic|social|enterprising,2.51,5.04,1.26,7.0,3.81,1.64,2.0,6.0,1.0
19-1029.02,Molecular and Cellular Biologists,investigative|conventional|realistic|enterprising|social|artistic,1.95,5.1,2.58,6.66,5.03,2.27,2.0,6.0,1.0
19-1029.03,Geneticists,investigative|conventional|realistic|artistic|social|enterprising,2.95,4.78,1.61,7.0,4.05,2.91,2.0,6.0,1.0
19-1029.04,Biologists,investigative|conventional|realistic|enterprising|social|artistic,2.4,4.45,2.76,7.0,4.11,2.62,2.0,6.0,1.0
19-1031.00,Conservation Scientists,investigative|realistic|conventional|enterprising|social|artistic,1.97,3.98,3.16,5.7,5.15,2.87,2.0,1.0,6.0
19-1031.02,Range Managers,realistic|investigative|enterprising|conventional|social|artistic,1.47,3.68,4.39,5.02,5.76,2.42,1.0,2.0,5.0
19-1031.03,Park Naturalists,social|realistic|investigative|artistic|enterprising|conventional,3.74,3.43,3.46,4.24,4.38,4.87,4.0,1.0,2.0
19-1032.00,Foresters,realistic|investigative|conventional|enterprising|social|artistic,1.25,4.39,3.78,4.48,5.32,2.3,1.0,2.0,6.0
19-1041.00,Epidemiologists,investigative|social|conventional|realistic|enterprising|artistic,2.19,3.63,2.37,7.0,2.82,4.11,2.0,4.0,0.0
19-1042.00,"Medical Scientists, Except Epidemiologists",investigative|realistic|conventional|social|artistic|enterprising,2.42,3.7,2.22,7.0,4.27,3.29,2.0,1.0,0.0
19-2011.00,Astronomers,investigative|realistic|conventional|artistic|social|enterprising,3.28,4.04,1.87,7.0,5.07,2.71,2.0,1.0,0.0
19-2012.00,Physicists,investigative|realistic|conventional|artistic|social|enterprising,2.75,4.8,1.77,7.0,4.94,2.12,2.0,1.0,6.0
19-2021.00,Atmospheric and Space Scientists,investigative|realistic|conventional|artistic|enterprising|social,2.72,4.45,2.68,6.26,4.77,2.49,2.0,1.0,6.0
19-2031.00,Chemists,investigative|realistic|conventional|enterprising|artistic|social,1.52,4.81,1.6,6.71,5.67,1.14,2.0,1.0,6.0
19-2032.00,Materials Scientists,investigative|realistic|conventional|artistic|enterprising|social,2.17,4.15,1.86,6.59,5.82,1.39,2.0,1.0,6.0
19-2041.00,"Environmental Scientists and Specialists, Including Health",investigative|realistic|conventional|social|enterprising|artistic,1.87,4.32,2.56,7.0,4.76,2.75,2.0,1.0,6.0
19-2041.01,Climate Change Policy Analysts,investigative|enterprising|conventional|social|artistic|realistic,3.11,4.06,4.69,6.73,1.37,3.17,2.0,5.0,6.0
19-2041.02,Environmental Restoration Planners,investigative|realistic|conventional|enterprising|artistic|social,2.24,4.13,3.63,6.25,5.31,2.12,2.0,1.0,6.0
19-2041.03,Industrial Ecologists,investigative|realistic|conventional|enterprising|artistic|social,2.14,3.98,3.04,7.0,4.62,1.95,2.0,1.0,6.0
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",investigative|realistic|conventional|artistic|social|enterprising,2.72,4.16,1.65,7.0,5.59,2.24,2.0,1.0,6.0
19-2043.00,Hydrologists,investigative|realistic|conventional|enterprising|social|artistic,1.63,4.31,2.29,6.41,5.84,2.14,2.0,1.0,6.0
19-2099.01,Remote Sensing Scientists and Technologists,investigative|realistic|conventional|artistic|enterprising|social,1.93,4.81,1.44,6.09,4.86,1.27,2.0,1.0,6.0
19-3011.00,Economists,investigative|conventional|enterprising|artistic|social|realistic,2.43,4.53,3.93,7.0,1.35,2.4,2.0,6.0,5.0
19-3011.01,Environmental Economists,investigative|enterprising|conventional|realistic|artistic|social,2.53,4.08,4.11,7.0,2.74,2.28,2.0,5.0,6.0
19-3022.00,Survey Researchers,investigative|conventional|enterprising|social|artistic|realistic,2.31,5.25,3.02,6.11,1.68,2.34,2.0,6.0,0.0
19-3032.00,Industrial-Organizational Psychologists,investigative|enterprising|conventional|social|artistic|realistic,3.13,4.28,4.71,5.34,1.05,3.99,2.0,5.0,6.0
19-3033.00,Clinical and Counseling Psychologists,social|investigative|conventional|artistic|enterprising|realistic,3.06,3.49,2.65,5.58,1.05,6.57,4.0,2.0,0.0
19-3034.00,School Psychologists,social|investigative|conventional|artistic|enterprising|realistic,3.31,4.01,2.82,5.0,1.0,6.77,4.0,2.0,6.0
19-3039.02,Neuropsychologists,investigative|social|conventional|artistic|realistic|enterprising,3.28,3.32,1.69,7.0,2.63,5.29,2.0,4.0,0.0
19-3039.03,Clinical Neuropsychologists,investigative|social|conventional|realistic|artistic|enterprising,2.4,3.49,2.07,7.0,2.82,5.69,2.0,4.0,0.0
19-3041.00,Sociologists,investigative|social|artistic|conventional|enterprising|realistic,3.99,3.6,3.08,6.5,1.56,4.36,2.0,4.0,3.0
19-3051.00,Urban and Regional Planners,investigative|enterprising|conventional|realistic|artistic|social,3.06,3.96,4.46,5.31,3.22,3.03,2.0,5.0,6.0
19-3091.00,Anthropologists and Archeologists,investigative|artistic|realistic|social|conventional|enterprising,4.21,3.19,1.63,6.84,3.99,3.67,2.0,3.0,0.0
19-3092.00,Geographers,investigative|realistic|artistic|conventional|social|enterprising,3.69,3.69,2.1,6.74,5.11,2.72,2.0,1.0,0.0
19-3093.00,Historians,investigative|conventional|artistic|social|realistic|enterprising,3.7,4.87,2.35,5.32,2.39,3.22,2.0,6.0,0.0
19-3094.00,Political Scientists,investigative|artistic|enterprising|conventional|social|realistic,3.87,3.52,3.61,6.71,1.0,3.42,2.0,3.0,0.0
19-3099.01,Transportation Planners,investigative|conventional|realistic|enterprising|artistic|social,2.01,4.87,3.14,5.6,3.59,1.76,2.0,6.0,1.0
19-4012.00,Agricultural Technicians,realistic|investigative|conventional|enterprising|social|artistic,1.0,4.26,1.99,4.57,6.82,1.46,1.0,2.0,6.0
19-4012.01,Precision Agriculture Technicians,realistic|investigative|conventional|enterprising|social|artistic,1.23,4.95,2.11,5.4,6.46,1.39,1.0,2.0,6.0
19-4013.00,Food Science Technicians,realistic|conventional|investigative|enterprising|social|artistic,1.33,5.04,1.96,4.51,5.57,1.73,1.0,6.0,2.0
19-4021.00,Biological Technicians,conventional|realistic|investigative|social|enterprising|artistic,1.2,5.62,1.31,5.36,5.6,1.97,6.0,1.0,2.0
19-4031.00,Chemical Technicians,investigative|realistic|conventional|social|artistic|enterprising,1.51,5.25,1.13,5.8,5.45,1.64,2.0,1.0,6.0
19-4042.00,"Environmental Science and Protection Technicians, Including Health",realistic|investigative|conventional|social|enterprising|artistic,1.23,4.93,1.35,5.6,5.83,1.93,1.0,2.0,6.0
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",realistic|conventional|investigative|social|artistic|enterprising,1.28,5.34,1.11,5.18,5.6,1.46,1.0,6.0,2.0
19-4044.00,Hydrologic Technicians,realistic|conventional|investigative|social|enterprising|artistic,1.0,5.28,1.47,4.92,5.48,1.68,1.0,6.0,2.0
19-4051.00,Nuclear Technicians,realistic|conventional|investigative|enterprising|social|artistic,1.0,5.07,2.26,4.57,5.75,1.83,1.0,6.0,2.0
19-4051.02,Nuclear Monitoring Technicians,realistic|conventional|investigative|social|enterprising|artistic,1.0,5.51,1.53,4.43,6.1,1.9,1.0,6.0,2.0
19-4061.00,Social Science Research Assistants,investigative|conventional|social|realistic|enterprising|artistic,1.89,5.93,2.27,6.08,2.38,2.67,2.0,6.0,0.0
19-4071.00,Forest and Conservation Technicians,realistic|conventional|investigative|social|enterprising|artistic,1.0,4.72,2.47,4.37,6.53,2.81,1.0,6.0,2.0
19-4092.00,Forensic Science Technicians,investigative|realistic|conventional|artistic|enterprising|social,1.77,4.98,1.59,5.94,5.18,1.5,2.0,1.0,6.0
19-4099.01,Quality Control Analysts,conventional|investigative|realistic|enterprising|social|artistic,1.0,6.0,2.6,4.88,4.11,1.21,6.0,2.0,1.0
19-4099.03,Remote Sensing Technicians,conventional|realistic|investigative|artistic|enterprising|social,2.14,5.24,1.71,4.6,5.1,1.51,6.0,1.0,2.0
19-5011.00,Occupational Health and Safety Specialists,investigative|conventional|realistic|social|enterprising|artistic,1.28,4.7,3.2,4.98,4.45,3.45,2.0,6.0,1.0
19-5012.00,Occupational Health and Safety Technicians,conventional|realistic|investigative|social|enterprising|artistic,1.0,5.56,2.64,4.88,5.35,2.87,6.0,1.0,2.0
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,social|investigative|conventional|enterprising|artistic|realistic,2.59,3.16,2.71,3.81,1.59,6.66,4.0,2.0,0.0
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",social|conventional|enterprising|investigative|artistic|realistic,3.13,4.09,3.92,3.3,1.0,7.0,4.0,6.0,5.0
21-1013.00,Marriage and Family Therapists,social|investigative|artistic|conventional|enterprising|realistic,3.58,2.9,1.78,5.32,1.49,6.22,4.0,2.0,0.0
21-1014.00,Mental Health Counselors,social|investigative|conventional|artistic|enterprising|realistic,3.06,3.43,2.96,4.42,1.31,6.79,4.0,2.0,0.0
21-1015.00,Rehabilitation Counselors,social|enterprising|investigative|conventional|artistic|realistic,2.98,3.26,3.56,3.27,1.23,6.8,4.0,0.0,0.0
21-1021.00,"Child, Family, and School Social Workers",social|conventional|investigative|enterprising|artistic|realistic,2.9,3.57,2.94,3.32,1.7,6.85,4.0,0.0,0.0
21-1022.00,Healthcare Social Workers,social|investigative|conventional|enterprising|artistic|realistic,2.34,3.07,2.55,4.24,1.96,6.92,4.0,2.0,0.0
21-1023.00,Mental Health and Substance Abuse Social Workers,social|investigative|conventional|artistic|enterprising|realistic,2.78,3.12,2.46,4.08,1.71,6.97,4.0,2.0,0.0
21-1091.00,Health Education Specialists,social|investigative|conventional|enterprising|artistic|realistic,2.54,3.95,3.21,5.29,1.66,6.15,4.0,2.0,6.0
21-1092.00,Probation Officers and Correctional Treatment Specialists,social|conventional|enterprising|investigative|realistic|artistic,2.15,4.18,3.92,3.44,2.35,5.56,4.0,6.0,5.0
21-1093.00,Social and Human Service Assistants,social|conventional|enterprising|investigative|artistic|realistic,1.95,4.57,3.61,2.8,1.28,6.09,4.0,6.0,5.0
21-1094.00,Community Health Workers,social|enterprising|investigative|conventional|artistic|realistic,2.22,3.38,3.53,3.49,2.0,6.58,4.0,0.0,0.0
21-2011.00,Clergy,social|enterprising|artistic|conventional|investigative|realistic,3.44,2.89,4.17,2.11,2.1,5.91,4.0,5.0,0.0
21-2021.00,"Directors, Religious Activities and Education",social|enterprising|artistic|conventional|investigative|realistic,3.38,3.16,6.16,2.71,1.0,7.0,4.0,5.0,0.0
23-1011.00,Lawyers,enterprising|conventional|investigative|social|artistic|realistic,2.4,4.59,5.51,4.38,1.12,3.48,5.0,6.0,2.0
23-1012.00,Judicial Law Clerks,conventional|enterprising|investigative|social|artistic|realistic,2.07,5.1,4.51,4.01,1.6,3.38,6.0,5.0,2.0
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",conventional|enterprising|investigative|social|artistic|realistic,1.73,5.49,5.11,4.01,1.0,3.05,6.0,5.0,2.0
23-1022.00,"Arbitrators, Mediators, and Conciliators",enterprising|conventional|social|investigative|artistic|realistic,2.25,4.33,4.63,3.61,1.12,4.24,5.0,6.0,4.0
23-1023.00,"Judges, Magistrate Judges, and Magistrates",enterprising|conventional|social|investigative|realistic|artistic,2.19,4.11,5.27,3.81,2.33,3.96,5.0,6.0,4.0
23-2011.00,Paralegals and Legal Assistants,conventional|investigative|enterprising|social|artistic|realistic,2.24,5.28,3.92,5.04,1.74,3.12,6.0,2.0,5.0
23-2093.00,"Title Examiners, Abstractors, and Searchers",conventional|enterprising|investigative|realistic|social|artistic,1.11,6.74,3.44,2.63,2.44,2.34,6.0,5.0,0.0
25-1011.00,"Business Teachers, Postsecondary",social|investigative|enterprising|conventional|artistic|realistic,3.2,3.77,3.83,4.85,2.0,6.43,4.0,2.0,0.0
25-1021.00,"Computer Science Teachers, Postsecondary",social|investigative|conventional|artistic|realistic|enterprising,3.32,3.97,2.26,5.69,3.09,5.88,4.0,2.0,0.0
25-1022.00,"Mathematical Science Teachers, Postsecondary",social|investigative|conventional|artistic|realistic|enterprising,3.2,4.38,1.94,5.86,2.81,6.19,4.0,2.0,6.0
25-1031.00,"Architecture Teachers, Postsecondary",social|investigative|artistic|realistic|conventional|enterprising,4.48,3.2,2.46,5.13,3.43,6.77,4.0,2.0,3.0
25-1032.00,"Engineering Teachers, Postsecondary",social|investigative|realistic|conventional|artistic|enterprising,3.16,3.44,2.01,5.39,4.84,5.77,4.0,2.0,1.0
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",social|investigative|realistic|conventional|artistic|enterprising,2.92,3.51,2.61,5.36,3.97,6.24,4.0,2.0,0.0
25-1042.00,"Biological Science Teachers, Postsecondary",social|investigative|realistic|conventional|artistic|enterprising,3.3,3.65,2.04,5.88,3.96,6.25,4.0,2.0,0.0
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",social|investigative|realistic|conventional|artistic|enterprising,3.15,3.34,2.42,5.91,3.97,6.47,4.0,2.0,0.0
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",social|investigative|realistic|conventional|artistic|enterprising,3.14,3.6,2.37,5.61,4.0,6.51,4.0,2.0,0.0
25-1052.00,"Chemistry Teachers, Postsecondary",investigative|social|realistic|conventional|artistic|enterprising,2.95,3.78,2.09,5.82,4.05,5.71,2.0,4.0,0.0
25-1053.00,"Environmental Science Teachers, Postsecondary",investigative|social|realistic|conventional|artistic|enterprising,3.37,3.42,2.49,6.34,3.71,6.25,2.0,4.0,0.0
25-1054.00,"Physics Teachers, Postsecondary",social|investigative|realistic|conventional|artistic|enterprising,3.28,3.64,2.35,5.98,3.77,6.06,4.0,2.0,0.0
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",social|investigative|artistic|realistic|conventional|enterprising,3.57,3.29,2.47,5.96,3.46,6.75,4.0,2.0,0.0
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",social|investigative|artistic|realistic|conventional|enterprising,3.84,3.03,3.0,5.31,3.05,6.92,4.0,2.0,0.0
25-1063.00,"Economics Teachers, Postsecondary",social|investigative|conventional|enterprising|artistic|realistic,3.02,3.9,3.36,5.56,2.73,6.21,4.0,2.0,0.0
25-1064.00,"Geography Teachers, Postsecondary",social|investigative|artistic|conventional|realistic|enterprising,3.69,3.67,2.61,5.65,3.24,6.76,4.0,2.0,0.0
25-1065.00,"Political Science Teachers, Postsecondary",social|investigative|artistic|enterprising|conventional|realistic,3.72,3.02,3.25,5.47,1.95,6.87,4.0,2.0,0.0
25-1066.00,"Psychology Teachers, Postsecondary",social|investigative|artistic|conventional|enterprising|realistic,3.86,3.3,2.32,5.59,2.13,7.0,4.0,2.0,0.0
25-1067.00,"Sociology Teachers, Postsecondary",social|investigative|artistic|conventional|realistic|enterprising,3.58,3.27,2.53,5.71,2.57,6.7,4.0,2.0,0.0
25-1071.00,"Health Specialties Teachers, Postsecondary",social|investigative|conventional|realistic|artistic|enterprising,3.0,3.52,1.99,5.43,3.27,7.0,4.0,2.0,0.0
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",social|investigative|artistic|conventional|realistic|enterprising,3.29,3.15,2.13,4.91,2.94,7.0,4.0,2.0,0.0
25-1081.00,"Education Teachers, Postsecondary",social|investigative|conventional|artistic|enterprising|realistic,3.47,3.61,2.68,4.77,2.67,7.0,4.0,2.0,0.0
25-1082.00,"Library Science Teachers, Postsecondary",social|investigative|conventional|artistic|realistic|enterprising,3.27,4.16,2.16,5.44,2.93,6.27,4.0,2.0,6.0
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",social|investigative|conventional|enterprising|artistic|realistic,3.33,3.56,3.37,4.88,2.4,6.85,4.0,2.0,0.0
25-1112.00,"Law Teachers, Postsecondary",social|investigative|conventional|enterprising|artistic|realistic,3.39,3.72,3.49,5.35,2.41,6.46,4.0,2.0,0.0
25-1113.00,"Social Work Teachers, Postsecondary",social|investigative|artistic|conventional|enterprising|realistic,3.86,3.02,2.85,5.03,2.2,7.0,4.0,2.0,0.0
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",social|artistic|investigative|realistic|conventional|enterprising,5.73,2.61,2.12,4.14,3.03,6.99,4.0,3.0,0.0
25-1122.00,"Communications Teachers, Postsecondary",social|investigative|artistic|conventional|enterprising|realistic,3.82,3.58,3.13,4.62,2.18,6.95,4.0,2.0,0.0
25-1123.00,"English Language and Literature Teachers, Postsecondary",social|investigative|artistic|conventional|enterprising|realistic,4.19,3.49,2.43,4.78,2.28,7.0,4.0,2.0,3.0
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",social|investigative|artistic|conventional|enterprising|realistic,4.06,3.53,2.52,4.52,2.11,7.0,4.0,2.0,3.0
25-1125.00,"History Teachers, Postsecondary",social|investigative|artistic|conventional|realistic|enterprising,3.95,3.45,2.6,5.41,2.81,6.95,4.0,2.0,0.0
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",social|investigative|artistic|conventional|enterprising|realistic,3.76,3.48,2.77,5.14,2.46,7.0,4.0,2.0,0.0
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",social|investigative|artistic|conventional|realistic|enterprising,3.48,3.37,2.79,4.85,2.93,7.0,4.0,2.0,0.0
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",social|investigative|conventional|artistic|realistic|enterprising,3.36,3.67,2.55,4.69,3.19,7.0,4.0,2.0,0.0
25-1194.00,"Career/Technical Education Teachers, Postsecondary",social|investigative|realistic|conventional|artistic|enterprising,3.15,3.29,2.11,4.15,3.75,6.61,4.0,2.0,0.0
25-2011.00,"Preschool Teachers, Except Special Education",social|artistic|conventional|realistic|investigative|enterprising,3.98,3.61,2.49,2.76,2.94,7.0,4.0,3.0,0.0
25-2012.00,"Kindergarten Teachers, Except Special Education",social|artistic|conventional|investigative|realistic|enterprising,3.99,3.8,2.48,3.11,2.68,7.0,4.0,3.0,0.0
25-2021.00,"Elementary School Teachers, Except Special Education",social|artistic|conventional|investigative|realistic|enterprising,3.87,3.78,2.57,3.35,2.64,7.0,4.0,0.0,0.0
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",social|artistic|conventional|investigative|enterprising|realistic,4.1,3.56,2.66,3.31,2.59,7.0,4.0,3.0,0.0
25-2023.00,"Career/Technical Education Teachers, Middle School",social|conventional|artistic|investigative|realistic|enterprising,3.38,3.82,2.27,3.31,3.28,7.0,4.0,0.0,0.0
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",social|artistic|conventional|investigative|enterprising|realistic,3.77,3.61,2.9,3.19,2.73,7.0,4.0,0.0,0.0
25-2032.00,"Career/Technical Education Teachers, Secondary School",social|conventional|artistic|investigative|realistic|enterprising,3.46,3.92,2.52,3.38,2.86,7.0,4.0,0.0,0.0
25-2051.00,"Special Education Teachers, Preschool",social|artistic|investigative|conventional|realistic|enterprising,3.98,3.18,1.7,3.49,2.7,7.0,4.0,3.0,0.0
25-2055.00,"Special Education Teachers, Kindergarten",social|investigative|conventional|artistic|realistic|enterprising,3.65,3.67,1.73,3.8,2.55,7.0,4.0,0.0,0.0
25-2056.00,"Special Education Teachers, Elementary School",social|investigative|artistic|conventional|realistic|enterprising,3.65,3.48,1.77,3.94,2.27,7.0,4.0,2.0,0.0
25-2057.00,"Special Education Teachers, Middle School",social|artistic|investigative|conventional|realistic|enterprising,3.96,3.3,1.8,3.92,2.32,7.0,4.0,3.0,2.0
25-2058.00,"Special Education Teachers, Secondary School",social|investigative|artistic|conventional|realistic|enterprising,3.76,3.52,1.93,3.81,2.39,7.0,4.0,2.0,0.0
25-2059.01,Adapted Physical Education Specialists,social|conventional|realistic|investigative|artistic|enterprising,2.46,4.17,1.88,3.65,4.12,7.0,4.0,6.0,1.0
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",social|artistic|conventional|investigative|enterprising|realistic,3.91,3.38,2.85,3.14,2.32,7.0,4.0,3.0,0.0
25-3021.00,Self-Enrichment Teachers,social|artistic|enterprising|conventional|investigative|realistic,4.18,3.08,3.2,2.97,2.51,7.0,4.0,3.0,0.0
25-3031.00,"Substitute Teachers, Short-Term",social|conventional|artistic|investigative|enterprising|realistic,3.43,3.65,2.45,2.52,2.19,6.73,4.0,6.0,0.0
25-3041.00,Tutors,social|conventional|artistic|investigative|realistic|enterprising,3.07,3.35,1.74,2.85,2.28,6.75,4.0,0.0,0.0
25-4011.00,Archivists,conventional|investigative|social|artistic|realistic|enterprising,2.89,5.97,1.83,4.72,2.88,2.96,6.0,2.0,0.0
25-4012.00,Curators,conventional|enterprising|social|investigative|artistic|realistic,2.98,5.36,3.84,3.43,2.47,3.82,6.0,5.0,4.0
25-4013.00,Museum Technicians and Conservators,realistic|conventional|investigative|artistic|social|enterprising,3.14,4.58,1.51,3.21,5.67,2.64,1.0,6.0,0.0
25-4022.00,Librarians and Media Collections Specialists,conventional|social|investigative|enterprising|artistic|realistic,2.65,5.83,2.75,3.63,2.32,4.04,6.0,4.0,2.0
25-4031.00,Library Technicians,conventional|social|realistic|investigative|enterprising|artistic,1.59,6.52,1.88,2.7,3.08,4.07,6.0,4.0,0.0
25-9021.00,Farm and Home Management Educators,social|investigative|realistic|enterprising|conventional|artistic,2.31,3.18,3.49,4.28,3.96,4.83,4.0,2.0,1.0
25-9031.00,Instructional Coordinators,social|enterprising|investigative|conventional|artistic|realistic,3.56,3.98,4.26,4.04,1.62,6.16,4.0,5.0,2.0
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",social|conventional|enterprising|artistic|realistic|investigative,2.78,4.25,2.98,2.3,2.55,6.52,4.0,6.0,0.0
25-9043.00,"Teaching Assistants, Special Education",social|conventional|artistic|investigative|enterprising|realistic,3.34,3.57,2.14,3.29,1.98,7.0,4.0,0.0,0.0
25-9044.00,"Teaching Assistants, Postsecondary",social|conventional|investigative|enterprising|realistic|artistic,2.01,4.99,2.79,3.13,2.15,6.53,4.0,6.0,0.0
27-1011.00,Art Directors,artistic|enterprising|conventional|realistic|social|investigative,7.0,3.6,5.24,2.69,2.95,2.88,3.0,5.0,0.0
27-1012.00,Craft Artists,artistic|realistic|enterprising|conventional|investigative|social,5.93,2.66,2.86,1.85,5.89,1.68,3.0,1.0,0.0
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",artistic|realistic|investigative|enterprising|conventional|social,7.0,2.34,2.37,2.68,4.05,2.28,3.0,1.0,0.0
27-1014.00,Special Effects Artists and Animators,artistic|realistic|conventional|investigative|enterprising|social,7.0,3.13,2.62,2.77,3.71,2.18,3.0,1.0,0.0
