O*NET-SOC Code,Title,career_interest_types_ranked_OI,career_interest_types_OI_artistic_value,career_interest_types_OI_conventional_value,career_interest_types_OI_enterprising_value,career_interest_types_OI_investigative_value,career_interest_types_OI_realistic_value,career_interest_types_OI_social_value,career_interest_types_IH_first_interest_high_point_value,career_interest_types_IH_second_interest_high_point_value,career_interest_types_IH_third_interest_high_point_value
11-9041.00,Architectural and Engineering Managers,enterprising|investigative|conventional|realistic|social|artistic,2.64,4.43,6.4,4.56,2.99,2.95,5.0,2.0,6.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,investigative|enterprising|realistic|conventional|artistic|social,2.11,3.51,4.7,5.84,4.16,2.1,2.0,5.0,1.0
11-9051.00,Food Service Managers,enterprising|conventional|realistic|social|investigative|artistic,1.63,5.06,5.97,1.96,4.16,3.53,5.0,6.0,1.0
11-9071.00,Gambling Managers,enterprising|conventional|social|realistic|investigative|artistic,1.09,5.46,6.74,1.35,2.8,2.86,5.0,6.0,0.0
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",enterprising|conventional|social|realistic|artistic|investigative,1.98,5.04,6.25,1.96,3.35,3.93,5.0,6.0,4.0
11-9081.00,Lodging Managers,enterprising|conventional|social|realistic|artistic|investigative,1.43,5.22,6.21,1.1,2.69,4.31,5.0,6.0,4.0
11-9111.00,Medical and Health Services Managers,enterprising|conventional|social|investigative|realistic|artistic,1.45,5.17,5.95,3.75,2.05,4.4,5.0,6.0,4.0
11-9121.00,Natural Sciences Managers,investigative|enterprising|conventional|social|realistic|artistic,2.44,4.22,5.6,5.87,2.74,3.09,2.0,5.0,6.0
11-9121.01,Clinical Research Coordinators,investigative|conventional|enterprising|social|artistic|realistic,1.76,4.81,4.31,5.9,1.58,3.58,2.0,6.0,5.0
11-9121.02,Water Resource Specialists,investigative|realistic|conventional|enterprising|social|artistic,1.78,4.17,3.53,5.8,4.45,2.58,2.0,1.0,6.0
11-9131.00,Postmasters and Mail Superintendents,enterprising|conventional|social|realistic|investigative|artistic,1.17,5.69,6.0,1.3,2.14,3.35,5.0,6.0,4.0
11-9141.00,"Property, Real Estate, and Community Association Managers",enterprising|conventional|social|realistic|investigative|artistic,1.69,5.26,6.67,2.11,3.28,3.53,5.0,6.0,0.0
11-9151.00,Social and Community Service Managers,enterprising|social|conventional|artistic|investigative|realistic,2.43,4.21,6.97,2.17,1.0,5.43,5.0,4.0,6.0
11-9161.00,Emergency Management Directors,enterprising|conventional|investigative|social|realistic|artistic,1.82,4.69,5.07,4.49,3.53,4.01,5.0,6.0,2.0
11-9171.00,Funeral Home Managers,enterprising|conventional|social|realistic|investigative|artistic,1.89,4.56,6.38,2.32,2.81,4.35,5.0,6.0,4.0
11-9179.01,Fitness and Wellness Coordinators,social|enterprising|conventional|realistic|investigative|artistic,2.14,3.65,5.42,2.69,3.21,5.58,4.0,5.0,0.0
11-9179.02,Spa Managers,enterprising|conventional|social|realistic|artistic|investigative,1.84,4.91,7.0,1.31,2.5,4.19,5.0,6.0,4.0
11-9199.01,Regulatory Affairs Managers,enterprising|conventional|investigative|social|realistic|artistic,1.34,5.67,6.55,2.99,1.93,2.65,5.0,6.0,0.0
11-9199.02,Compliance Managers,conventional|enterprising|social|investigative|realistic|artistic,1.0,6.3,5.93,2.98,1.92,3.1,6.0,5.0,0.0
11-9199.08,Loss Prevention Managers,conventional|enterprising|investigative|realistic|social|artistic,1.0,5.85,5.62,3.62,3.43,2.85,6.0,5.0,0.0
11-9199.09,Wind Energy Operations Managers,enterprising|conventional|realistic|investigative|social|artistic,1.0,5.24,6.47,3.04,4.16,2.34,5.0,6.0,1.0
11-9199.10,Wind Energy Development Managers,enterprising|conventional|investigative|realistic|social|artistic,1.66,4.82,6.71,3.86,3.44,2.38,5.0,6.0,0.0
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,conventional|enterprising|realistic|investigative|social|artistic,1.46,4.69,4.54,4.31,4.49,2.03,6.0,5.0,1.0
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",enterprising|social|conventional|artistic|investigative|realistic,3.55,3.73,6.48,1.76,1.0,4.14,5.0,4.0,6.0
13-1021.00,"Buyers and Purchasing Agents, Farm Products",enterprising|conventional|realistic|investigative|social|artistic,1.08,4.8,4.91,1.85,4.56,1.74,5.0,6.0,1.0
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",enterprising|conventional|realistic|social|investigative|artistic,1.56,5.17,5.23,1.92,3.37,2.45,5.0,6.0,1.0
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",conventional|enterprising|realistic|social|investigative|artistic,1.19,5.65,5.09,1.82,3.5,1.93,6.0,5.0,1.0
13-1031.00,"Claims Adjusters, Examiners, and Investigators",conventional|enterprising|investigative|social|realistic|artistic,1.0,6.23,4.77,3.53,1.23,2.61,6.0,5.0,2.0
13-1032.00,"Insurance Appraisers, Auto Damage",conventional|realistic|enterprising|investigative|social|artistic,1.16,5.44,3.54,3.04,5.17,1.64,6.0,1.0,5.0
13-1041.00,Compliance Officers,conventional|enterprising|investigative|social|realistic|artistic,1.0,6.33,4.08,3.07,2.51,2.97,6.0,5.0,0.0
13-1041.01,Environmental Compliance Inspectors,conventional|investigative|realistic|enterprising|social|artistic,1.05,5.84,3.21,4.77,4.57,2.35,6.0,2.0,1.0
13-1041.03,Equal Opportunity Representatives and Officers,enterprising|conventional|social|investigative|artistic|realistic,1.73,5.21,5.37,3.01,1.23,4.24,5.0,6.0,4.0
13-1041.04,Government Property Inspectors and Investigators,conventional|enterprising|investigative|realistic|social|artistic,1.0,6.26,4.2,3.32,3.09,2.41,6.0,5.0,0.0
13-1041.06,Coroners,investigative|conventional|enterprising|realistic|social|artistic,1.5,4.86,4.09,4.94,4.04,3.1,2.0,6.0,5.0
13-1041.07,Regulatory Affairs Specialists,conventional|enterprising|investigative|social|realistic|artistic,1.0,6.32,4.46,3.32,1.4,2.5,6.0,5.0,2.0
13-1041.08,Customs Brokers,conventional|enterprising|realistic|social|investigative|artistic,1.0,6.13,5.02,1.53,2.37,2.17,6.0,5.0,0.0
13-1051.00,Cost Estimators,conventional|enterprising|investigative|realistic|social|artistic,1.12,6.44,4.65,3.18,3.01,1.66,6.0,5.0,0.0
13-1071.00,Human Resources Specialists,enterprising|conventional|social|investigative|artistic|realistic,1.35,5.52,5.67,2.52,1.03,3.78,5.0,6.0,4.0
13-1074.00,Farm Labor Contractors,enterprising|realistic|conventional|social|investigative|artistic,1.0,4.39,4.99,1.54,4.85,3.24,5.0,1.0,6.0
13-1075.00,Labor Relations Specialists,enterprising|conventional|social|investigative|artistic|realistic,1.71,4.61,5.65,3.1,1.31,3.72,5.0,6.0,4.0
13-1081.00,Logisticians,conventional|enterprising|investigative|realistic|social|artistic,1.1,5.44,5.02,3.81,2.35,2.33,6.0,5.0,2.0
13-1081.01,Logistics Engineers,conventional|investigative|realistic|enterprising|social|artistic,1.07,5.67,3.76,5.22,4.02,1.31,6.0,2.0,1.0
13-1081.02,Logistics Analysts,conventional|enterprising|investigative|realistic|social|artistic,1.0,6.79,4.47,4.04,2.88,1.52,6.0,5.0,2.0
13-1082.00,Project Management Specialists,enterprising|conventional|social|investigative|artistic|realistic,1.57,5.55,6.3,2.75,1.48,3.32,5.0,6.0,0.0
13-1111.00,Management Analysts,conventional|investigative|enterprising|social|artistic|realistic,1.63,6.05,4.81,5.44,1.37,2.82,6.0,2.0,5.0
13-1121.00,"Meeting, Convention, and Event Planners",enterprising|conventional|social|artistic|investigative|realistic,2.49,4.96,7.0,1.56,1.0,4.56,5.0,6.0,4.0
13-1131.00,Fundraisers,enterprising|social|conventional|artistic|investigative|realistic,3.22,4.07,6.03,2.02,1.0,4.23,5.0,4.0,6.0
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",conventional|enterprising|social|investigative|artistic|realistic,1.41,5.8,5.38,3.42,1.29,3.64,6.0,5.0,4.0
13-1151.00,Training and Development Specialists,social|investigative|conventional|enterprising|artistic|realistic,3.19,3.76,3.68,4.03,2.03,5.64,4.0,2.0,0.0
13-1161.00,Market Research Analysts and Marketing Specialists,enterprising|conventional|investigative|artistic|social|realistic,2.56,4.62,5.52,4.6,1.08,2.47,5.0,6.0,2.0
13-1161.01,Search Marketing Strategists,enterprising|conventional|investigative|artistic|social|realistic,3.23,4.68,5.54,3.78,1.0,2.76,5.0,6.0,2.0
13-1199.04,Business Continuity Planners,enterprising|conventional|investigative|social|realistic|artistic,1.66,5.06,5.23,4.39,2.0,3.06,5.0,6.0,2.0
13-1199.05,Sustainability Specialists,investigative|enterprising|conventional|social|artistic|realistic,2.5,4.41,5.09,5.2,2.06,2.95,2.0,5.0,6.0
13-1199.06,Online Merchants,conventional|enterprising|realistic|social|artistic|investigative,1.88,5.97,5.78,1.61,2.42,2.32,6.0,5.0,0.0
13-1199.07,Security Management Specialists,conventional|investigative|realistic|enterprising|social|artistic,1.68,5.68,3.73,5.09,3.86,1.96,6.0,2.0,1.0
13-2011.00,Accountants and Auditors,conventional|enterprising|investigative|social|realistic|artistic,1.08,7.0,3.87,3.57,1.14,2.13,6.0,5.0,2.0
13-2022.00,Appraisers of Personal and Business Property,conventional|enterprising|realistic|investigative|artistic|social,2.09,6.0,4.65,2.57,3.59,1.68,6.0,5.0,1.0
13-2023.00,Appraisers and Assessors of Real Estate,conventional|enterprising|investigative|realistic|social|artistic,1.61,5.81,4.87,2.85,2.7,2.63,6.0,5.0,0.0
13-2031.00,Budget Analysts,conventional|enterprising|investigative|social|artistic|realistic,1.58,7.0,4.91,3.72,1.0,2.25,6.0,5.0,2.0
13-2041.00,Credit Analysts,conventional|enterprising|investigative|social|artistic|realistic,1.0,6.85,4.55,3.79,1.0,2.41,6.0,5.0,2.0
13-2051.00,Financial and Investment Analysts,conventional|enterprising|investigative|social|artistic|realistic,1.78,5.54,5.09,5.06,1.0,2.25,6.0,5.0,2.0
13-2052.00,Personal Financial Advisors,enterprising|conventional|social|investigative|artistic|realistic,1.69,5.61,5.85,3.27,1.0,4.07,5.0,6.0,4.0
13-2053.00,Insurance Underwriters,conventional|enterprising|investigative|social|realistic|artistic,1.0,6.16,4.5,3.64,1.72,2.84,6.0,5.0,2.0
13-2054.00,Financial Risk Specialists,conventional|investigative|enterprising|social|realistic|artistic,1.31,5.36,4.92,4.96,1.67,2.48,6.0,2.0,5.0
13-2061.00,Financial Examiners,conventional|enterprising|investigative|social|realistic|artistic,1.0,6.4,4.63,3.6,1.34,2.5,6.0,5.0,2.0
13-2071.00,Credit Counselors,conventional|social|enterprising|investigative|artistic|realistic,1.8,5.35,4.73,2.65,1.0,4.89,6.0,4.0,5.0
13-2072.00,Loan Officers,conventional|enterprising|social|investigative|realistic|artistic,1.0,6.08,4.98,2.32,1.43,3.65,6.0,5.0,4.0
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",conventional|enterprising|social|investigative|realistic|artistic,1.0,6.85,4.38,2.47,1.21,3.15,6.0,5.0,0.0
13-2082.00,Tax Preparers,conventional|enterprising|investigative|social|realistic|artistic,1.0,6.79,3.38,2.38,2.17,2.26,6.0,5.0,0.0
13-2099.01,Financial Quantitative Analysts,investigative|conventional|enterprising|artistic|realistic|social,1.85,5.79,3.45,6.67,1.63,1.58,2.0,6.0,0.0
13-2099.04,"Fraud Examiners, Investigators and Analysts",conventional|investigative|enterprising|realistic|social|artistic,1.22,5.62,4.57,4.67,2.01,1.95,6.0,2.0,5.0
15-1211.00,Computer Systems Analysts,investigative|conventional|realistic|enterprising|artistic|social,1.98,5.93,2.23,6.39,3.27,1.91,2.0,6.0,0.0
15-1211.01,Health Informatics Specialists,investigative|conventional|social|realistic|enterprising|artistic,1.99,4.71,2.08,6.29,2.84,4.52,2.0,6.0,4.0
15-1212.00,Information Security Analysts,conventional|investigative|realistic|enterprising|social|artistic,1.34,6.08,2.85,5.4,3.56,2.11,6.0,2.0,0.0
15-1221.00,Computer and Information Research Scientists,investigative|conventional|realistic|artistic|enterprising|social,2.95,4.8,2.49,7.0,3.74,2.0,2.0,6.0,0.0
15-1231.00,Computer Network Support Specialists,conventional|investigative|realistic|enterprising|social|artistic,1.0,5.45,2.64,4.61,4.38,2.28,6.0,2.0,1.0
15-1232.00,Computer User Support Specialists,conventional|realistic|investigative|social|enterprising|artistic,1.0,6.02,2.36,3.77,4.13,3.31,6.0,1.0,2.0
15-1241.00,Computer Network Architects,investigative|conventional|realistic|enterprising|artistic|social,2.25,5.06,3.2,5.28,4.04,2.17,2.0,6.0,1.0
15-1241.01,Telecommunications Engineering Specialists,conventional|realistic|investigative|enterprising|social|artistic,1.9,4.95,3.07,4.29,4.54,2.31,6.0,1.0,2.0
15-1242.00,Database Administrators,conventional|investigative|enterprising|realistic|social|artistic,1.2,6.61,2.94,4.83,2.83,2.29,6.0,2.0,0.0
15-1243.00,Database Architects,conventional|investigative|enterprising|realistic|artistic|social,2.16,6.12,2.68,5.63,2.63,1.91,6.0,2.0,0.0
15-1243.01,Data Warehousing Specialists,conventional|investigative|enterprising|realistic|social|artistic,1.62,6.38,3.05,4.79,2.93,2.03,6.0,2.0,0.0
15-1244.00,Network and Computer Systems Administrators,conventional|realistic|investigative|enterprising|social|artistic,1.0,6.18,3.46,4.04,4.19,2.22,6.0,1.0,2.0
15-1251.00,Computer Programmers,conventional|investigative|realistic|artistic|enterprising|social,2.51,5.92,2.09,5.1,3.37,1.98,6.0,2.0,0.0
15-1252.00,Software Developers,investigative|conventional|realistic|artistic|enterprising|social,2.37,5.62,1.87,6.05,3.61,1.81,2.0,6.0,0.0
15-1253.00,Software Quality Assurance Analysts and Testers,investigative|conventional|realistic|artistic|enterprising|social,1.69,5.67,1.57,5.76,3.8,1.53,2.0,6.0,1.0
15-1254.00,Web Developers,conventional|investigative|artistic|realistic|enterprising|social,3.13,5.03,2.96,5.01,2.98,2.22,6.0,2.0,0.0
15-1255.00,Web and Digital Interface Designers,investigative|artistic|conventional|enterprising|realistic|social,4.48,4.4,3.13,4.88,2.59,2.2,2.0,3.0,6.0
15-1255.01,Video Game Designers,artistic|investigative|enterprising|conventional|realistic|social,6.38,3.85,3.92,4.15,2.77,2.3,3.0,2.0,0.0
15-1299.01,Web Administrators,conventional|investigative|enterprising|realistic|artistic|social,2.42,5.54,3.77,4.41,2.45,2.27,6.0,2.0,5.0
15-1299.02,Geographic Information Systems Technologists and Technicians,conventional|investigative|realistic|artistic|enterprising|social,2.31,5.88,1.93,5.19,4.26,1.93,6.0,2.0,1.0
15-1299.03,Document Management Specialists,conventional|investigative|enterprising|social|artistic|realistic,1.81,6.74,2.93,3.89,1.75,2.29,6.0,2.0,0.0
15-1299.04,Penetration Testers,investigative|conventional|realistic|enterprising|social|artistic,1.31,5.18,2.1,5.19,3.91,1.99,2.0,6.0,1.0
15-1299.05,Information Security Engineers,conventional|investigative|realistic|enterprising|social|artistic,1.33,6.06,2.66,5.54,4.3,1.83,6.0,2.0,1.0
15-1299.06,Digital Forensics Analysts,investigative|conventional|realistic|enterprising|artistic|social,1.69,6.03,2.71,6.11,3.2,1.65,2.0,6.0,0.0
15-1299.07,Blockchain Engineers,conventional|investigative|realistic|enterprising|artistic|social,2.07,5.69,3.39,5.28,3.4,1.57,6.0,2.0,0.0
15-1299.08,Computer Systems Engineers/Architects,conventional|investigative|realistic|enterprising|social|artistic,1.88,5.76,3.03,5.46,4.1,2.1,6.0,2.0,1.0
15-1299.09,Information Technology Project Managers,enterprising|conventional|investigative|social|artistic|realistic,1.77,5.31,5.91,3.87,1.73,2.67,5.0,6.0,2.0
15-2011.00,Actuaries,conventional|investigative|enterprising|social|realistic|artistic,1.13,6.29,3.33,4.45,1.78,2.49,6.0,2.0,5.0
